"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"27441","RB","Damien","Williams","3","16","5500","MIA@WAS","MIA","WAS","","","",""
"38514","WR","Kevin","White","0","0","5500","GB@CHI","CHI","GB","NA","Leg","",""
"11466","QB","Jimmy","Clausen","4.2","4","5500","GB@CHI","CHI","GB","Q","Concussion","",""
"22003","RB","Ronnie","Hillman","11.5","8","5400","BAL@DEN","DEN","BAL","","","",""
"22004","TE","Dwayne","Allen","7.8","13","5400","IND@BUF","IND","BUF","","","",""
"21972","WR","Brian","Quick","9.7","7","5400","SEA@STL","STL","SEA","P","Shoulder","",""
"6535","WR","Kenny","Britt","7.4","16","5400","SEA@STL","STL","SEA","","","",""
"28249","RB","David","Cobb","0","0","5400","TEN@TB","TEN","TB","IR","Calf","",""
"33260","WR","DeVante","Parker","0","0","5400","MIA@WAS","MIA","WAS","Q","Foot","",""
"6488","WR","Dwayne","Bowe","7.1","15","5400","CLE@NYJ","CLE","NYJ","P","Hamstring","",""
"6373","QB","Derek","Anderson","8.4","6","5400","CAR@JAC","CAR","JAC","","","",""
"47294","RB","Terrence","Franks","0","0","5400","SEA@STL","STL","SEA","","","",""
"6814","QB","Tarvaris","Jackson","6.1","1","5400","SEA@STL","SEA","STL","Q","Leg","",""
"6863","TE","Delanie","Walker","9.6","15","5400","TEN@TB","TEN","TB","","","",""
"29780","TE","Zach","Ertz","7.2","16","5400","PHI@ATL","PHI","ATL","Q","Groin","",""
"29645","RB","Javorius","Allen","0","0","5400","BAL@DEN","BAL","DEN","","","",""
"29685","WR","Robert","Woods","8.3","16","5400","IND@BUF","BUF","IND","P","Hip","",""
"14198","QB","Christian","Ponder","6.7","2","5400","CIN@OAK","OAK","CIN","","","",""
"14307","WR","Cecil","Shorts","7","13","5400","KC@HOU","HOU","KC","","","",""
"27457","WR","Kenny","Stills","9.5","15","5400","MIA@WAS","MIA","WAS","","","",""
"46882","RB","Jay","Ajayi","0","0","5400","MIA@WAS","MIA","WAS","IR","Ribs","",""
"8071","QB","Dan","Orlovsky","2.5","1","5400","DET@SD","DET","SD","","","",""
"8051","QB","Luke","McCown","0","16","5400","NO@ARI","NO","ARI","","","",""
"7919","QB","Kellen","Clemens","3.4","2","5400","DET@SD","SD","DET","","","",""
"7744","QB","Drew","Stanton","10.9","9","5400","NO@ARI","ARI","NO","","","",""
"11609","RB","James","Starks","4.3","16","5400","GB@CHI","GB","CHI","","","",""
"21999","WR","Rueben","Randle","9.2","16","5300","NYG@DAL","NYG","DAL","","","",""
"41807","RB","Michael","Dyer","0","0","5300","CIN@OAK","OAK","CIN","","","",""
"39373","WR","Jaelen","Strong","0","0","5300","KC@HOU","HOU","KC","","","",""
"62497","RB","David","Johnson","0","0","5300","NO@ARI","ARI","NO","","","",""
